objectType,pkOntome,identifierInNamespace,originalURI
class,238,F22,F22_Self-Contained_Expression
class,251,F35,F35_Nomen_Use_Statement
class,243,F27,F27_Work_Conception
property,972,CLP57,CLP57_should_have_number_of_parts
class,250,F34,F34_KOS
class,259,F44,F44_Bibliographic_Agency
class,236,F20,F20_Performance_Work
class,246,F30,F30_Publication_Event
property,1000,R26,R26_produced_things_of_type
class,248,F32,F32_Carrier_Production_Event
property,1039,R66,R66_included_performed_version_of
property,974,CLP105,CLP105_right_held_by
property,1002,R28,R28_produced
class,227,F11,F11_Corporate_Body
property,1030,R57,R57_is_based_on
class,231,F15,F15_Complex_Work
property,987,R12,R12_is_realised_in
property,969,CLP43,CLP43_should_have_dimension
property,978,R3,R3_is_realised_in
class,1025,M37,M37_Music_Scale
class,1049,M5,M5_Genre
property,1980,U185,U185_has_distribution_statement
class,1029,M40,M40_Context
property,1974,U17,U17_has_opus_statement
class,996,M16,M16_Maintenance
property,1986,U191,U191_used_equalization_technique
property,2077,U199,U199_has_sponsor
property,2097,U48,U48_foresees_quantity_of_actors
property,2026,U39,U39_has_tuned
property,2016,U29,U29_edited
property,2080,U202,U202_has_colour_details
property,2014,U27,U27_performed_character
class,1006,M1,M1_Catalogue_Statement
property,1951,CLU207,CLU207_should_have_carrier_type
property,2020,U33,U33_has_set_of_characters
property,2034,U51,U51_is_partial_or_full_recording_of
property,1954,CLU223,CLU223_should_have_number_of_tape_tracks
property,1961,U168,U168_has_parallel_title
class,1012,M25,M25_Foreseen_Activity
property,2100,U68,U68_has_variant_title
property,2036,U53,U53_has_duration
property,2043,U5,U5_had_premiere
property,2007,U225,U225_used_sound_spatialization_technique
property,2040,U57,U57_occurred_in_religious_context
property,2071,U95,U95_has_hierarchical_level
property,2070,U94,U94_has_work_type
class,1043,M53,M53_Noise_Reduction_Technique
property,2030,U46,U46_occurred_in_context
property,2103,U71,U71_has_uniform_title
class,985,M15,M15_Dedication_Statement
property,1948,CLU197,CLU197_should_have_binding
property,2022,U35,U35_foresees_function
property,2035,U52,U52_has_context
property,2101,U69,U69_has_WoO_number
property,2000,U219,U219_used_object_of_type_for_mixing
property,2042,U59,U59_has_partial_published_recording
class,1047,M58,M58_Programming_Work
property,1969,U175,U175_has_parallel_cast_statement
property,2025,U38,U38_has_descriptive_expression
property,2018,U31,U31_had_function
property,2001,U21,U21_is_about_actor
class,1013,M26,M26_Foreseen_Performance
class,1035,M46,M46_Set_of_Tracks
class,995,M169,M169_Carrier_Type
property,1964,U170,U170_has_title_statement
class,1045,M55,M55_Condition_of_Performance
class,1021,M33,M33_Set_of_Characters
property,2011,U24,U24_has_award
class,1017,M2,M2_Opus_Statement
property,1981,U186,U186_has_printing_or_manufacture_statement
property,1950,CLU206,CLU206_should_have_media_type
property,1978,U183,U183_has_parallel_music_format_statement
property,2095,U42,U42_has_opus_number
property,1970,U176,U176_has_edition_statement
property,2072,U96,U96_foresees_vocal_or_instrumental_technique
property,2047,U63,U63_has_religious_context
property,1953,CLU217,CLU217_should_have_playing_speed
property,2032,U49,U49_created_for_actor
property,1979,U184,U184_has_publication_statement
property,2041,U58,U58_has_full_published_recording
property,2093,U3,U3_foresees_use_of_specific_object
property,2093,U3,U3_foresees_use_of_specific_object
property,1949,CLU198,CLU198_should_have_container
property,2106,U79,U79_has_lowest_pitch
class,976,M12,M12_Opus_Number
property,2067,U91,U91_put_into_effect
property,2028,U44,U44_has_dedication_statement
property,2078,U200,U200_has_supplementary_content
class,1009,M22,M22_Form
property,2074,U15,U15_has_history
property,2006,U224,U224_has_title_proper_of_multipart_monograph
class,1010,M23,M23_Casting_Detail
class,1014,M27,M27_Foreseen_Individual_Performance
class,1026,M38,M38_Rhythmic_Pattern
class,1001,M174,M174_Content_Type
property,1993,U206,U206_has_media_type
property,1956,U11,U11_has_key
property,2055,U77,U77_foresees_performing_plan
class,1002,M175,M175_Music_Format
property,2004,U222,U222_has_title_proper_of_sub-series
property,1955,CLU53,CLU53_should_have_duration
class,980,M155,M155_Cast_Statement
property,2052,U73,U73_is_derivative_of
property,2079,U201,U201_has_illustrative_content
class,1050,M60,M60_Intended_Audience
class,1052,M62,M62_Hierarchical_Level
property,1952,CLU210,CLU210_should_have_pagination
property,1966,U172,U172_has_statement_of_responsibility_relating_to_title
property,2088,U215,U215_has_groove_caracteristics
property,1968,U174,U174_has_cast_statement
property,2044,U60,U60_occurred_in_cultural_context
class,1048,M59,M59_Program
property,2064,U89,U89_occured_in_performance_conditions
property,2048,U64,U64_has_cultural_context
property,1973,U179,U179_has_parallel_statement_of_responsibility_relating_to_edition
property,2021,U34,U34_foresees_character
class,983,M158,M158_Title_and_Statement_of_Responsibility
property,1976,U181,U181_has_parallel_additional_edition_statement
property,1994,U207,U207_has_carrier_type
property,2068,U92,U92_is_foreseen_to_be_put_into_effect_through
property,2068,U92,U92_is_foreseen_to_be_put_into_effect_through
property,1958,U13,U13_has_casting
property,1987,U192,U192_used_noise_reduction_technique
class,1016,M29,M29_Editing
property,2107,U80,U80_has_highest_pitch
class,1028,M3,M3_Order_Number
property,2063,U88,U88_has_medium_of_performance_section
property,1984,U189,U189_has_main_series_statement
property,2019,U32,U32_had_responsibility
property,1972,U178,U178_has_statement_of_responsibility_relating_to_edition
property,2104,U72,U72_has_title_note
property,2015,U28,U28_has_ambitus
property,2012,U25,U25_has_scale
property,2082,U204,U204_has_reproduction_note
property,2053,U74,U74_cited
property,2027,U40,U40_has_catalogue_name
property,1990,U198,U198_has_container
class,999,M172,M172_Colour_Content
property,1977,U182,U182_has_music_format_statement
class,982,M157,M157_Statement_of_Responsibility
property,2031,U47,U47_has_derivation_type
property,1963,U16,U16_has_catalogue_statement
property,2083,U205,U205_has_cast_detail
class,978,M14,M14_Medium_Of_Performance
class,1005,M19,M19_Categorization
property,1995,U20,U20_has_music_group_formation
property,2076,U194,U194_has_system_requirements
property,2065,U8,U8_foresees_time_span
class,979,M154,M154_Label_Name
property,2039,U56,U56_occurred_in_historical_context
property,2091,U228,U228_has_other_distinguishing_characteristic_of_expression
class,1033,M44,M44_Performed_Work
property,2024,U37,U37_foresees_performing_character
property,1988,U195,U195_has_order_or_location_indication
class,975,M11,M11_Catalogue_Number
class,1032,M43,M43_Performed_Expression
class,1011,M24,M24_Track
class,1038,M49,M49_Performer_Status
property,2037,U54,U54_is_performed_expression_of
property,1998,U217,U217_has_playing_speed
property,2061,U85,U85_has_closely_related_key
property,1975,U180,U180_has_additional_edition_statement
class,1003,M17,M17_Controlled_Access_Point_Creator
class,1024,M36,M36_Award
class,1023,M35,M35_Representative_Publication_Assignment
property,2090,U226,U226_has_responsibility_detail
property,1957,U12,U12_has_genre
property,1985,U18,U18_has_rhythmic_pattern
property,2085,U211,U211_has_composition_of_material
class,1018,M30,M30_Ambitus
property,2056,U7,U7_foresees_place_at
property,2046,U62,U62_has_form
property,2092,U30,U30_foresees_quantity_of_mop
property,2002,U220,U220_has_title_and_statement_of_responsibility
class,1055,M8,M8_Tempo
property,2084,U208,U208_has_extent_of_carrier
property,2049,U65,U65_has_geographical_context
property,1965,U171,U171_has_parallel_title_statement
class,1008,M21,M21_Harmonic_Structure
class,1000,M173,M173_Playing_Speed
class,987,M161,M161_Distribution_Statement
class,986,M160,M160_Publication_Statement
class,990,M164,M164_Multipart_Monograph_Statement
class,992,M166,M166_Title_Proper_of_Multipart_Monograph
property,2096,U43,U43_has_opus_subnumber
property,2057,U81,U81_had_performer_status
property,1983,U188,U188_has_series_statement
property,2108,U9,U9_has_quantity
property,2054,U75,U75_has_harmonic_structure
class,1051,M61,M61_Work_Type
class,989,M163,M163_Music_Format_Statement
property,2098,U50,U50_has_annotation
class,1054,M7,M7_Linguistic_Appellation
class,1004,M18,M18_Controlled_Access_Point_Denomination
class,988,M162,M162_Series_Statement
property,2033,U4,U4_had_princeps_publication
property,2102,U70,U70_has_original_title
property,2045,U61,U61_occurred_in_geographical_context
property,1960,U167,U167_has_title_proper
property,2017,U2,U2_foresees_use_of_medium_of_performance
class,1015,M28,M28_Individual_Performance
class,994,M168,M168_Media_Type
property,2087,U213,U213_has_recording_method
class,1020,M32,M32_Actor_Responsibility
class,1056,M9,M9_Derivation_Type
property,2013,U26,U26_has_maintained
class,1034,M45,M45_Descriptive_Expression_Assignment
property,2089,U216,U216_has_tape_configuration
property,1991,U19,U19_is_categorized_as
class,1007,M20,M20_Music_Group_Formation
class,998,M171,M171_Container
property,1959,U14,U14_has_tempo
property,2029,U45,U45_has_metronome_indication
property,2060,U84,U84_has_parallel_key
property,1992,U1,U1_used_medium_of_performance
property,2023,U36,U36_foresees_responsibility
property,2066,U90,U90_foresees_creation_or_performance_mode
class,1042,M52,M52_Equalization_Technique
property,1962,U169,U169_was_issued_under_label_name
class,977,M13,M13_Opus_Subnumber
property,2038,U55,U55_incorporates_performed_expression
property,1999,U218,U218_used_object_of_type_for_mastering
property,2086,U212,U212_has_technical_features
property,2099,U67,U67_has_subtitle
class,1053,M6,M6_Casting
class,974,M10,M10_Catalogue_Name
class,1037,M48,M48_WoO_Subnumber
class,1044,M54,M54_Sound_Spatialization_Technique
property,1971,U177,U177_has_parallel_edition_statement
property,1967,U173,U173_has_parallel_statement_of_responsibility_relating_to_title
class,1036,M47,M47_WoO_Number
class,981,M156,M156_Title_Statement
class,1019,M31,M31_Actor_Function
class,1022,M34,M34_Award_Assignment
property,1997,U214,U214_has_colour_content
class,1039,M4,M4_Key
class,997,M170,M170_Binding
property,2075,U193,U193_used_historical_instruments
class,1027,M39,M39_Derivation_Type_Assignment
property,2105,U76,U76_has_WoO_subnumber
class,1040,M50,M50_Creation_or_Performance_Mode
class,991,M165,M165_Title_Proper_of_Series
property,2094,U41,U41_has_catalogue_number
property,2008,U229,U229_has_music_format
property,2005,U223,U223_has_number_of_tape_tracks
property,2058,U82,U82_has_foreseen_performer_status
class,1030,M41,M41_Metronome_Indication
property,2069,U93,U93_is_realised_in
property,2051,U6,U6_foresees_actor
property,2003,U221,U221_has_title_proper_of_series
class,993,M167,M167_Publication_Expression_Fragment
property,2062,U87,U87_has_member_casting_detail
property,1996,U210,U210_has_pagination
property,2073,U10,U10_has_order_number
class,1041,M51,M51_Type_Of_Recording_Equipment
property,2010,U23,U23_has_casting_detail
property,2081,U203,U203_has_summary_or_abstract
property,1989,U197,U197_has_binding
class,1046,M57,M57_Vocal_or_Instrumental_Technique
class,984,M159,M159_Edition_Statement
class,1031,M42,M42_Performed_Expression_Creation
property,2009,U22,U22_is_about_place
property,2050,U66,U66_has_historical_context
property,2059,U83,U83_has_relative_key
property,1982,U187,U187_has_multipart_monographs_statement
